Place,Country,Category,Season,Rating,Google_Maps_Link
Neapolitan Pizza,Italy,Culinary,Summer,4.9,https://maps.google.com/maps?q=L+Antica+Pizzeria+da+Michele+Naples+Italy
Taj Mahal,India,Culture,Winter,4.9,https://maps.google.com/maps?q=Taj+Mahal+Agra+India
Red Fort,India,Culture,Winter,4.4,https://maps.google.com/maps?q=Red+Fort+Delhi+India
Kerala Backwaters,India,Nature,Winter,4.6,https://maps.google.com/maps?q=Alleppey+Backwaters+Kerala+India
Goa Beaches,India,Nature,Winter,4.4,https://maps.google.com/maps?q=Baga+Beach+Goa+India
Rajasthan Palaces,India,Culture,Winter,4.6,https://maps.google.com/maps?q=City+Palace+Udaipur+India
Hampi Ruins,India,Culture,Winter,4.7,https://maps.google.com/maps?q=Hampi+Ruins+Karnataka+India
Darjeeling Tea Gardens,India,Nature,Spring,4.6,https://maps.google.com/maps?q=Darjeeling+Tea+Gardens+India
Varanasi Ghats,India,Culture,Winter,4.8,https://maps.google.com/maps?q=Dashashwamedh+Ghat+Varanasi+India
Jaipur Pink City,India,Culture,Winter,4.5,https://maps.google.com/maps?q=Hawa+Mahal+Jaipur+Pink+City+India
Rishikesh Yoga,India,Culture,Winter,4.7,https://maps.google.com/maps?q=Rishikesh+Yoga+Capital+India
Himalayan Peaks,India,Nature,Summer,4.8,https://maps.google.com/maps?q=Manali+Himachal+Pradesh+India
Indian Curry House,India,Culinary,Autumn,4.6,https://maps.google.com/maps?q=Karim+Hotel+Delhi+India
Machu Picchu,Peru,Nature,Spring,5.0,https://maps.google.com/maps?q=Machu+Picchu+Peru
Sacred Valley,Peru,Nature,Autumn,4.7,https://maps.google.com/maps?q=Sacred+Valley+Peru
Cusco City,Peru,Culture,Winter,4.4,https://maps.google.com/maps?q=Plaza+de+Armas+Cusco+Peru
Huacachina Oasis,Peru,Nature,Autumn,4.5,https://maps.google.com/maps?q=Huacachina+Oasis+Peru
Paracas Peninsula,Peru,Nature,Spring,4.3,https://maps.google.com/maps?q=Paracas+National+Reserve+Peru
Nazca Lines,Peru,Culture,Summer,4.3,https://maps.google.com/maps?q=Nazca+Lines+Peru
Arequipa City,Peru,Culture,Winter,4.3,https://maps.google.com/maps?q=Plaza+de+Armas+Arequipa+Peru
Iquitos Amazon,Peru,Nature,Spring,4.8,https://maps.google.com/maps?q=Iquitos+Amazon+Peru
Trujillo Colonial City,Peru,Culture,Winter,4.3,https://maps.google.com/maps?q=Trujillo+Historic+Center+Peru
Chachani Volcano,Peru,Nature,Spring,4.4,https://maps.google.com/maps?q=Chachani+Volcano+Peru
Lima Gastronomy,Peru,Culinary,Summer,4.8,https://maps.google.com/maps?q=Central+Restaurant+Lima+Peru
Ceviche Restaurant,Peru,Culinary,Autumn,4.7,https://maps.google.com/maps?q=La+Mar+Cebicheria+Lima+Peru
Madrid Royal Palace,Spain,Culture,Spring,4.6,https://maps.google.com/maps?q=Royal+Palace+Madrid+Spain
Sagrada Familia,Spain,Culture,Summer,4.8,https://maps.google.com/maps?q=Sagrada+Familia+Barcelona+Spain
Prado Museum,Spain,Culture,Autumn,4.7,https://maps.google.com/maps?q=Prado+Museum+Madrid+Spain
Alhambra Granada,Spain,Culture,Winter,4.9,https://maps.google.com/maps?q=Alhambra+Granada+Spain
Camino de Santiago,Spain,Nature,Spring,4.5,https://maps.google.com/maps?q=Santiago+de+Compostela+Spain
Picos de Europa,Spain,Nature,Summer,4.6,https://maps.google.com/maps?q=Picos+de+Europa+National+Park+Spain
Costa Brava,Spain,Nature,Autumn,4.4,https://maps.google.com/maps?q=Costa+Brava+Catalonia+Spain
Canary Islands,Spain,Nature,Winter,4.7,https://maps.google.com/maps?q=Tenerife+Canary+Islands+Spain
Tapas Bar Madrid,Spain,Culinary,Spring,4.5,https://maps.google.com/maps?q=Casa+Botín+Madrid+Spain
Paella Valencia,Spain,Culinary,Summer,4.6,https://maps.google.com/maps?q=La+Pepica+Valencia+Spain
Pintxos San Sebastian,Spain,Culinary,Autumn,4.8,https://maps.google.com/maps?q=Parte+Vieja+San+Sebastian+Spain
Jamón Ibérico,Spain,Culinary,Winter,4.7,https://maps.google.com/maps?q=Museo+del+Jamón+Madrid+Spain
Neuschwanstein Castle,Germany,Culture,Summer,4.6,https://maps.google.com/maps?q=Neuschwanstein+Castle+Germany
Brandenburg Gate,Germany,Culture,Spring,4.5,https://maps.google.com/maps?q=Brandenburg+Gate+Berlin+Germany
Cologne Cathedral,Germany,Culture,Autumn,4.7,https://maps.google.com/maps?q=Cologne+Cathedral+Germany
Heidelberg Castle,Germany,Culture,Winter,4.4,https://maps.google.com/maps?q=Heidelberg+Castle+Germany
Black Forest,Germany,Nature,Spring,4.6,https://maps.google.com/maps?q=Black+Forest+Baden-Württemberg+Germany
Rhine Valley,Germany,Nature,Summer,4.5,https://maps.google.com/maps?q=Rhine+Valley+Germany
Bavarian Alps,Germany,Nature,Autumn,4.8,https://maps.google.com/maps?q=Zugspitze+Bavarian+Alps+Germany
North Sea Coast,Germany,Nature,Winter,4.3,https://maps.google.com/maps?q=Sylt+Island+Germany
Oktoberfest Munich,Germany,Culinary,Autumn,4.7,https://maps.google.com/maps?q=Oktoberfest+Munich+Germany
Berlin Currywurst,Germany,Culinary,Winter,4.2,https://maps.google.com/maps?q=Curry+36+Berlin+Germany
Hofbräuhaus Munich,Germany,Culinary,Summer,4.4,https://maps.google.com/maps?q=Hofbräuhaus+Munich+Germany
Sauerbraten Restaurant,Germany,Culinary,Spring,4.3,https://maps.google.com/maps?q=Brauhaus+Sion+Cologne+Germany
Big Ben London,United Kingdom,Culture,Autumn,4.5,https://maps.google.com/maps?q=Big+Ben+London+UK
Stonehenge,United Kingdom,Culture,Summer,4.3,https://maps.google.com/maps?q=Stonehenge+Wiltshire+UK
Edinburgh Castle,United Kingdom,Culture,Spring,4.6,https://maps.google.com/maps?q=Edinburgh+Castle+Scotland+UK
Tower Bridge,United Kingdom,Culture,Winter,4.4,https://maps.google.com/maps?q=Tower+Bridge+London+UK
Lake District,United Kingdom,Nature,Spring,4.7,https://maps.google.com/maps?q=Lake+District+Cumbria+UK
Scottish Highlands,United Kingdom,Nature,Summer,4.8,https://maps.google.com/maps?q=Isle+of+Skye+Scotland+UK
Cotswolds,United Kingdom,Nature,Autumn,4.6,https://maps.google.com/maps?q=Cotswolds+England+UK
Giant's Causeway,United Kingdom,Nature,Winter,4.5,https://maps.google.com/maps?q=Giant+Causeway+Northern+Ireland+UK
Fish and Chips,United Kingdom,Culinary,Spring,4.2,https://maps.google.com/maps?q=Poppies+Fish+Chips+London+UK
Afternoon Tea,United Kingdom,Culinary,Summer,4.6,https://maps.google.com/maps?q=Fortnum+Mason+London+UK
Scottish Whisky,United Kingdom,Culinary,Autumn,4.7,https://maps.google.com/maps?q=Scotch+Whisky+Experience+Edinburgh+UK
Sunday Roast,United Kingdom,Culinary,Winter,4.4,https://maps.google.com/maps?q=Rules+Restaurant+London+UK
Christ the Redeemer,Brazil,Culture,Summer,4.8,https://maps.google.com/maps?q=Christ+the+Redeemer+Rio+de+Janeiro+Brazil
Sugarloaf Mountain,Brazil,Nature,Autumn,4.7,https://maps.google.com/maps?q=Sugarloaf+Mountain+Rio+Brazil
Copacabana Beach,Brazil,Nature,Winter,4.5,https://maps.google.com/maps?q=Copacabana+Beach+Rio+Brazil
Amazon Rainforest,Brazil,Nature,Spring,4.9,https://maps.google.com/maps?q=Amazon+Rainforest+Manaus+Brazil
Iguazu Falls,Brazil,Nature,Summer,4.8,https://maps.google.com/maps?q=Iguazu+Falls+Brazil
Salvador Historic Center,Brazil,Culture,Autumn,4.6,https://maps.google.com/maps?q=Pelourinho+Salvador+Brazil
Ouro Preto,Brazil,Culture,Winter,4.5,https://maps.google.com/maps?q=Ouro+Preto+Minas+Gerais+Brazil
Brasília Architecture,Brazil,Culture,Spring,4.3,https://maps.google.com/maps?q=Cathedral+of+Brasília+Brazil
Churrascaria,Brazil,Culinary,Summer,4.6,https://maps.google.com/maps?q=Fogo+de+Chão+São+Paulo+Brazil
Açaí Bowl,Brazil,Culinary,Autumn,4.4,https://maps.google.com/maps?q=Bibi+Sucos+Rio+de+Janeiro+Brazil
Feijoada Restaurant,Brazil,Culinary,Winter,4.5,https://maps.google.com/maps?q=Casa+da+Feijoada+Rio+Brazil
Caipirinha Bar,Brazil,Culinary,Spring,4.3,https://maps.google.com/maps?q=Academia+da+Cachaça+Rio+Brazil
Sydney Opera House,Australia,Culture,Summer,4.8,https://maps.google.com/maps?q=Sydney+Opera+House+Australia
Great Barrier Reef,Australia,Nature,Winter,4.9,https://maps.google.com/maps?q=Great+Barrier+Reef+Queensland+Australia
Uluru Rock,Australia,Nature,Autumn,4.7,https://maps.google.com/maps?q=Uluru+Northern+Territory+Australia
Melbourne Street Art,Australia,Culture,Spring,4.5,https://maps.google.com/maps?q=Hosier+Lane+Melbourne+Australia
Blue Mountains,Australia,Nature,Spring,4.6,https://maps.google.com/maps?q=Blue+Mountains+New+South+Wales+Australia
Kakadu National Park,Australia,Nature,Winter,4.5,https://maps.google.com/maps?q=Kakadu+National+Park+Northern+Territory+Australia
Bondi Beach,Australia,Nature,Summer,4.4,https://maps.google.com/maps?q=Bondi+Beach+Sydney+Australia
Twelve Apostles,Australia,Nature,Autumn,4.8,https://maps.google.com/maps?q=Twelve+Apostles+Victoria+Australia
Cradle Mountain,Australia,Nature,Winter,4.7,https://maps.google.com/maps?q=Cradle+Mountain+Tasmania+Australia
Australian War Memorial,Australia,Culture,Autumn,4.6,https://maps.google.com/maps?q=Australian+War+Memorial+Canberra+Australia
Melbourne Museum,Australia,Culture,Winter,4.4,https://maps.google.com/maps?q=Melbourne+Museum+Australia
Royal Botanical Gardens,Australia,Culture,Spring,4.5,https://maps.google.com/maps?q=Royal+Botanic+Gardens+Sydney+Australia
Barossa Valley Winery,Australia,Culinary,Autumn,4.7,https://maps.google.com/maps?q=Barossa+Valley+Wine+Region+Australia
Tim Tam Cafe,Australia,Culinary,Winter,4.3,https://maps.google.com/maps?q=Brunetti+Cafe+Melbourne+Australia
Aussie BBQ,Australia,Culinary,Summer,4.5,https://maps.google.com/maps?q=Meat+and+Wine+Co+Sydney+Australia
Lamington Bakery,Australia,Culinary,Spring,4.2,https://maps.google.com/maps?q=Black+Star+Pastry+Sydney+Australia
Victoria Falls,Zimbabwe,Nature,Winter,4.9,https://maps.google.com/maps?q=Victoria+Falls+Zimbabwe
Great Zimbabwe Ruins,Zimbabwe,Culture,Spring,4.5,https://maps.google.com/maps?q=Great+Zimbabwe+National+Monument
Hwange National Park,Zimbabwe,Nature,Summer,4.6,https://maps.google.com/maps?q=Hwange+National+Park+Zimbabwe
Matobo Hills,Zimbabwe,Nature,Autumn,4.7,https://maps.google.com/maps?q=Matobo+National+Park+Zimbabwe
Khami Ruins,Zimbabwe,Culture,Winter,4.3,https://maps.google.com/maps?q=Khami+Ruins+National+Monument+Zimbabwe
Zimbabwe Museum,Zimbabwe,Culture,Autumn,4.2,https://maps.google.com/maps?q=National+Gallery+of+Zimbabwe+Harare
Sadza Restaurant,Zimbabwe,Culinary,Spring,4.4,https://maps.google.com/maps?q=Chop+Chop+Brazilian+Steakhouse+Harare+Zimbabwe
Madora Grill,Zimbabwe,Culinary,Summer,4.3,https://maps.google.com/maps?q=Amanzi+Restaurant+Harare+Zimbabwe
Biltong House,Zimbabwe,Culinary,Winter,4.1,https://maps.google.com/maps?q=News+Cafe+Harare+Zimbabwe
Cape Town Waterfront,South Africa,Culture,Summer,4.7,https://maps.google.com/maps?q=V+A+Waterfront+Cape+Town+South+Africa
Table Mountain,South Africa,Nature,Autumn,4.8,https://maps.google.com/maps?q=Table+Mountain+Cape+Town+South+Africa
Kruger National Park,South Africa,Nature,Winter,4.9,https://maps.google.com/maps?q=Kruger+National+Park+South+Africa
Drakensberg Mountains,South Africa,Nature,Spring,4.7,https://maps.google.com/maps?q=Drakensberg+Mountains+South+Africa
Garden Route,South Africa,Nature,Summer,4.6,https://maps.google.com/maps?q=Garden+Route+Western+Cape+South+Africa
Robben Island,South Africa,Culture,Autumn,4.8,https://maps.google.com/maps?q=Robben+Island+Cape+Town+South+Africa
Apartheid Museum,South Africa,Culture,Winter,4.6,https://maps.google.com/maps?q=Apartheid+Museum+Johannesburg+South+Africa
Stellenbosch Winery,South Africa,Culinary,Spring,4.7,https://maps.google.com/maps?q=Stellenbosch+Wine+Route+South+Africa
Braai Restaurant,South Africa,Culinary,Summer,4.5,https://maps.google.com/maps?q=Mzansi+Restaurant+Cape+Town+South+Africa
Biltong Bar,South Africa,Culinary,Autumn,4.3,https://maps.google.com/maps?q=Biltong+Bar+Cape+Town+South+Africa
Bobotie House,South Africa,Culinary,Winter,4.4,https://maps.google.com/maps?q=Africa+Cafe+Cape+Town+South+Africa
Pyramids of Giza,Egypt,Culture,Winter,4.8,https://maps.google.com/maps?q=Great+Pyramid+of+Giza+Egypt
Valley of Kings,Egypt,Culture,Autumn,4.7,https://maps.google.com/maps?q=Valley+of+the+Kings+Luxor+Egypt
Abu Simbel,Egypt,Culture,Spring,4.9,https://maps.google.com/maps?q=Abu+Simbel+Temples+Egypt
Karnak Temple,Egypt,Culture,Summer,4.6,https://maps.google.com/maps?q=Karnak+Temple+Complex+Luxor+Egypt
Red Sea Coast,Egypt,Nature,Winter,4.5,https://maps.google.com/maps?q=Sharm+El+Sheikh+Red+Sea+Egypt
White Desert,Egypt,Nature,Spring,4.6,https://maps.google.com/maps?q=White+Desert+National+Park+Egypt
Nile River Cruise,Egypt,Nature,Autumn,4.4,https://maps.google.com/maps?q=Nile+River+Cruise+Aswan+Egypt
Siwa Oasis,Egypt,Nature,Summer,4.3,https://maps.google.com/maps?q=Siwa+Oasis+Egypt
Egyptian Koshari,Egypt,Culinary,Winter,4.2,https://maps.google.com/maps?q=Abou+Tarek+Koshari+Cairo+Egypt
Ful Medames Cafe,Egypt,Culinary,Spring,4.1,https://maps.google.com/maps?q=El+Tahrir+Restaurant+Cairo+Egypt
Mahshi Restaurant,Egypt,Culinary,Summer,4.3,https://maps.google.com/maps?q=Naguib+Mahfouz+Cafe+Cairo+Egypt
Turkish Delight,Turkey,Culinary,Autumn,4.4,https://maps.google.com/maps?q=Koska+Turkish+Delight+Istanbul+Turkey
Hagia Sophia,Turkey,Culture,Spring,4.8,https://maps.google.com/maps?q=Hagia+Sophia+Istanbul+Turkey
Blue Mosque,Turkey,Culture,Summer,4.7,https://maps.google.com/maps?q=Sultan+Ahmed+Mosque+Istanbul+Turkey
Topkapi Palace,Turkey,Culture,Winter,4.6,https://maps.google.com/maps?q=Topkapi+Palace+Istanbul+Turkey
Grand Bazaar,Turkey,Culture,Autumn,4.5,https://maps.google.com/maps?q=Grand+Bazaar+Istanbul+Turkey
Cappadocia Balloons,Turkey,Nature,Spring,4.9,https://maps.google.com/maps?q=Cappadocia+Hot+Air+Balloons+Turkey
Pamukkale Terraces,Turkey,Nature,Summer,4.7,https://maps.google.com/maps?q=Pamukkale+Thermal+Pools+Turkey
Antalya Beaches,Turkey,Nature,Winter,4.6,https://maps.google.com/maps?q=Konyaalti+Beach+Antalya+Turkey
Mount Ararat,Turkey,Nature,Autumn,4.5,https://maps.google.com/maps?q=Mount+Ararat+Turkey
Turkish Kebab,Turkey,Culinary,Spring,4.6,https://maps.google.com/maps?q=Pandeli+Restaurant+Istanbul+Turkey
Baklava House,Turkey,Culinary,Summer,4.5,https://maps.google.com/maps?q=Karakoy+Gulluoglu+Istanbul+Turkey
Red Square,Russia,Culture,Winter,4.7,https://maps.google.com/maps?q=Red+Square+Moscow+Russia
Hermitage Museum,Russia,Culture,Autumn,4.8,https://maps.google.com/maps?q=State+Hermitage+Museum+St+Petersburg+Russia
Kremlin Palace,Russia,Culture,Spring,4.6,https://maps.google.com/maps?q=Moscow+Kremlin+Russia
St Basils Cathedral,Russia,Culture,Summer,4.7,https://maps.google.com/maps?q=Saint+Basil+Cathedral+Moscow+Russia
Lake Baikal,Russia,Nature,Winter,4.9,https://maps.google.com/maps?q=Lake+Baikal+Siberia+Russia
Kamchatka Peninsula,Russia,Nature,Summer,4.8,https://maps.google.com/maps?q=Kamchatka+Peninsula+Russia
Trans-Siberian Railway,Russia,Nature,Autumn,4.6,https://maps.google.com/maps?q=Trans+Siberian+Railway+Russia
Ural Mountains,Russia,Nature,Spring,4.5,https://maps.google.com/maps?q=Ural+Mountains+Russia
Borscht Restaurant,Russia,Culinary,Winter,4.4,https://maps.google.com/maps?q=Cafe+Pushkin+Moscow+Russia
Caviar Bar,Russia,Culinary,Autumn,4.7,https://maps.google.com/maps?q=Beluga+Caviar+Bar+Moscow+Russia
Vodka Tasting,Russia,Culinary,Spring,4.3,https://maps.google.com/maps?q=Museum+of+Russian+Vodka+Moscow+Russia
Pelmeni House,Russia,Culinary,Summer,4.2,https://maps.google.com/maps?q=Lepim+i+Varim+Moscow+Russia
Times Square,United States,Culture,Winter,4.3,https://maps.google.com/maps?q=Times+Square+New+York+USA
Statue of Liberty,United States,Culture,Spring,4.6,https://maps.google.com/maps?q=Statue+of+Liberty+New+York+USA
Golden Gate Bridge,United States,Culture,Summer,4.7,https://maps.google.com/maps?q=Golden+Gate+Bridge+San+Francisco+USA
White House,United States,Culture,Autumn,4.4,https://maps.google.com/maps?q=White+House+Washington+DC+USA
Grand Canyon,United States,Nature,Spring,4.9,https://maps.google.com/maps?q=Grand+Canyon+National+Park+Arizona+USA
Yellowstone Park,United States,Nature,Summer,4.8,https://maps.google.com/maps?q=Yellowstone+National+Park+USA
Yosemite Valley,United States,Nature,Autumn,4.8,https://maps.google.com/maps?q=Yosemite+National+Park+California+USA
Niagara Falls,United States,Nature,Winter,4.6,https://maps.google.com/maps?q=Niagara+Falls+New+York+USA
New York Pizza,United States,Culinary,Spring,4.5,https://maps.google.com/maps?q=Joe+Pizza+New+York+USA
Texas BBQ,United States,Culinary,Summer,4.7,https://maps.google.com/maps?q=Franklin+Barbecue+Austin+Texas+USA
Chicago Deep Dish,United States,Culinary,Autumn,4.4,https://maps.google.com/maps?q=Lou+Malnati+Chicago+USA
Clam Chowder Boston,United States,Culinary,Winter,4.3,https://maps.google.com/maps?q=Union+Oyster+House+Boston+USA
Banff National Park,Canada,Nature,Winter,4.8,https://maps.google.com/maps?q=Banff+National+Park+Alberta+Canada
Niagara Falls Canada,Canada,Nature,Spring,4.7,https://maps.google.com/maps?q=Niagara+Falls+Ontario+Canada
Rocky Mountains,Canada,Nature,Summer,4.9,https://maps.google.com/maps?q=Canadian+Rocky+Mountains+Canada
Prince Edward Island,Canada,Nature,Autumn,4.5,https://maps.google.com/maps?q=Prince+Edward+Island+National+Park+Canada
CN Tower,Canada,Culture,Winter,4.5,https://maps.google.com/maps?q=CN+Tower+Toronto+Canada
Parliament Hill,Canada,Culture,Spring,4.4,https://maps.google.com/maps?q=Parliament+Hill+Ottawa+Canada
Old Quebec City,Canada,Culture,Summer,4.6,https://maps.google.com/maps?q=Old+Quebec+City+Canada
Royal Ontario Museum,Canada,Culture,Autumn,4.3,https://maps.google.com/maps?q=Royal+Ontario+Museum+Toronto+Canada
Poutine Restaurant,Canada,Culinary,Winter,4.4,https://maps.google.com/maps?q=La+Banquise+Montreal+Canada
Maple Syrup Farm,Canada,Culinary,Spring,4.3,https://maps.google.com/maps?q=Sugar+Bush+Maple+Farm+Ontario+Canada
Tim Hortons,Canada,Culinary,Summer,4.1,https://maps.google.com/maps?q=Tim+Hortons+Toronto+Canada
